0,0,-Inf,0,0
0,0.25236,-Inf,0,0.25236
0,0.50472,-Inf,0,0.50472
0,0.75707,-Inf,0,0.75707
0,1.0094,-Inf,0,1.0094
0,1.2618,-Inf,0,1.2618
0,1.5141,-Inf,0,1.5141
0,1.7665,-Inf,0,1.7665
0,2.0189,-Inf,0,2.0189
0,2.2712,-Inf,0,2.2712
0,2.5236,-Inf,0,2.5236
0,2.7759,-Inf,0,2.7759
0,3.0283,-Inf,0,3.0283
0,3.2807,-Inf,0,3.2807
0,3.533,-Inf,0,3.533
0,3.7854,-Inf,0,3.7854
0,4.0377,-Inf,0,4.0377
0,4.2901,-Inf,0,4.2901
0,4.5424,-Inf,0,4.5424
0,4.7948,-Inf,0,4.7948
0,5.0472,-Inf,0,5.0472
0,5.2995,-Inf,0,5.2995
0,5.5519,-Inf,0,5.5519
0,5.8042,-Inf,0,5.8042
0,6.0566,-Inf,0,6.0566
0,6.3089,-Inf,0,6.3089
0,6.5613,-Inf,0,6.5613
0,6.8137,-Inf,0,6.8137
0,7.066,-Inf,0,7.066
0,7.3184,-Inf,0,7.3184
0,7.5707,-Inf,0,7.5707
0,7.8231,-Inf,0,7.8231
0,8.0755,-Inf,0,8.0755
1.7557e-05,8.3278,-500.73,0,8.3278
0.00016231,8.5802,-238.58,0,8.5802
0.000574,8.8325,-156.6,0,8.8325
0.0013924,9.0849,-116.55,0,9.0849
0.0027571,9.3372,-92.812,0,9.3372
0.0048081,9.5896,-77.108,0,9.5896
0.0076849,9.8419,-65.949,0,9.842
0.011527,10.094,-57.612,0,10.094
0.016475,10.347,-51.146,0,10.347
0.022667,10.599,-45.985,0,10.599
0.030244,10.851,-41.77,0,10.851
0.039345,11.103,-38.263,0,11.104
0.050109,11.355,-35.299,0,11.356
0.062675,11.607,-32.761,0,11.608
0.077182,11.859,-30.564,0,11.861
0.093768,12.111,-28.643,0,12.113
0.11257,12.363,-26.949,0,12.366
0.13373,12.614,-25.445,0,12.618
0.15739,12.866,-24.099,0,12.87
0.18367,13.117,-22.889,0,13.123
0.21272,13.367,-21.794,0,13.375
0.24467,13.618,-20.799,0,13.627
0.27965,13.867,-19.891,0,13.88
0.3178,14.117,-19.059,0,14.132
0.35925,14.366,-18.294,0,14.384
0.40413,14.614,-17.588,0,14.637
0.45257,14.862,-16.935,0,14.889
0.5047,15.109,-16.328,0,15.141
0.56063,15.355,-15.763,0,15.394
0.6205,15.6,-15.236,0,15.646
0.68442,15.844,-14.743,0,15.899
0.7525,16.087,-14.281,0,16.151
0.82487,16.329,-13.847,0,16.403
0.90164,16.569,-13.439,0,16.656
0.9829,16.808,-13.054,0,16.908
1.0688,17.045,-12.69,0,17.16
1.1593,17.281,-12.347,0,17.413
1.2547,17.515,-12.021,0,17.665
1.3549,17.746,-11.712,0,17.917
1.4602,17.976,-11.419,0,18.17
1.5704,18.203,-11.139,0,18.422
1.6858,18.427,-10.874,0,18.674
1.8063,18.649,-10.62,0,18.927
1.9321,18.868,-10.378,0,19.179
2.0632,19.083,-10.147,0,19.432
2.1996,19.295,-9.9262,0,19.684
2.3413,19.504,-9.7146,0,19.936
2.4884,19.709,-9.5119,0,20.189
2.6409,19.91,-9.3174,0,20.441
2.7988,20.107,-9.1307,0,20.693
2.9621,20.3,-8.9514,0,20.946
3.1307,20.487,-8.7789,0,21.198
3.3046,20.67,-8.613,0,21.45
3.4839,20.848,-8.4532,0,21.703
3.6683,21.02,-8.2993,0,21.955
3.8579,21.187,-8.1508,0,22.207
4.0526,21.347,-8.125,0,22.46
4.2521,21.502,-8.125,0,22.712
4.4564,21.65,-8.125,0,22.965
4.6652,21.792,-8.125,0,23.217
4.8782,21.927,-8.125,0,23.469
5.0954,22.055,-8.125,0,23.722
5.3164,22.177,-8.125,0,23.974
5.5411,22.292,-8.125,0,24.226
5.7693,22.4,-8.125,0,24.479
6.0007,22.5,-8.125,0,24.731
6.2351,22.594,-8.125,0,24.983
6.4724,22.68,-8.125,0,25.236
6.7121,22.758,-8.125,0,25.488
6.9542,22.83,-8.125,0,25.741
7.1984,22.893,-8.125,0,25.993
7.4445,22.949,-8.125,0,26.245
7.6921,22.998,-8.125,0,26.498
7.9412,23.038,-8.125,0,26.75
8.1914,23.071,-8.125,0,27.002
8.4425,23.096,-8.125,0,27.255
8.6942,23.114,-8.125,0,27.507
8.9464,23.123,-8.125,0,27.759
9.1988,23.125,-8.125,0,28.012
9.451,23.118,-8.125,0,28.264
9.703,23.104,-8.125,0,28.516
9.9544,23.083,-8.125,0,28.769
10.205,23.053,-8.125,0,29.021
10.455,23.015,-8.125,0,29.274
10.703,22.97,-8.125,0,29.526
10.95,22.917,-8.125,0,29.778
11.195,22.857,-8.125,0,30.031
11.438,22.789,-8.125,0,30.283
11.678,22.713,-8.125,0,30.535
11.917,22.63,-8.125,0,30.788
12.152,22.54,-8.125,0,31.04
12.385,22.442,-8.125,0,31.292
12.614,22.338,-8.125,0,31.545
12.841,22.226,-8.125,0,31.797
13.063,22.107,-8.125,0,32.049
13.282,21.981,-8.125,0,32.302
13.497,21.849,-8.125,0,32.554
13.707,21.709,-8.125,0,32.807
13.914,21.564,-8.125,0,33.059
14.115,21.412,-8.125,0,33.311
14.312,21.254,-8.125,0,33.564
14.504,21.09,-8.125,0,33.816
14.69,20.92,-8.125,0,34.068
14.871,20.744,-8.125,0,34.321
15.047,20.563,-8.125,0,34.573
15.217,20.376,-8.125,0,34.825
15.381,20.185,-8.125,0,35.078
15.539,19.988,-8.125,0,35.33
15.691,19.786,-8.125,0,35.582
